0.11;0.22;0.44;0.56;0.33;0.56;0.33;0.56;0.56;0.67;0.44;0.33;0.56;0.67;0.56;0.67
0.33;0.56;0.56;0.67;0.44;0.67;0.78;0.78;0.44;0.33;0.44;0.44;0.44;0.33;0.33;0.44
0.33;0.44;0.44;0.44;0.67;0.56;0.44;0.67;0.44;0.44;0.67;0.22;0.22;0.44;0.33;0.44
0.78;0.56;0.33;0.56;0.67;0.44;0.56;0.33;0.67;0.56;0.22;0.67;0.33;0.33;0.56;0.56
0.44;0.56;0.67;0.56;0.33;0.67;0.56;0.67;0.67;0.56;0.67;0.56;0.33;0.44;0.67;0.67
0.67;0.22;0.44;0.44;0.56;0.44;0.44;0.56;0.67;0.33;0.56;0.33;0.11;0.11;0.56;0.56
0.44;0.56;0.44;0.78;0.56;0.33;0.22;0.56;0.33;0.56;0.44;0.22;0.33;0.44;0.22;0.44
0.33;0.67;0.44;0.56;0.56;0.33;0.56;0.67;0.22;0.56;0.33;0.33;0.56;0.11;0.44;0.44
0.67;0.78;0.67;0.33;0.33;0.67;0.56;0.33;0.33;0.33;0.44;0.44;0.78;0.44;0.78;0.56
0.33;0.33;0.44;0.00;0.44;0.56;0.78;0.44;0.67;0.44;0.56;0.33;0.44;0.33;0.56;0.56
0.56;0.33;0.44;0.56;0.56;0.67;0.44;0.56;0.11;0.44;0.44;0.33;0.33;0.33;0.44;0.56
0.67;0.56;0.44;0.67;0.44;0.44;0.56;0.22;0.33;0.33;0.33;0.67;0.33;0.44;0.33;0.44
0.56;0.44;0.56;0.22;0.67;0.44;0.33;0.44;0.11;0.56;0.78;0.78;0.78;0.78;0.67;0.44
0.56;0.56;0.44;0.44;0.56;0.56;0.22;0.56;0.67;0.56;0.56;0.33;0.67;0.78;0.67;0.56
0.78;0.33;0.44;0.44;0.67;0.22;0.67;0.44;0.56;0.67;0.67;0.56;0.56;0.44;0.56;0.22
0.22;0.56;0.44;0.67;0.56;0.67;0.56;0.44;0.56;0.11;0.33;0.67;0.11;0.33;0.67;0.44
0.44;0.56;0.67;0.67;0.33;0.56;0.22;0.44;0.67;0.44;0.44;0.33;0.33;0.44;0.33;0.33
0.33;0.33;0.56;0.67;0.56;0.56;0.11;0.33;0.78;0.56;0.56;0.33;0.33;0.56;0.44;0.22
0.56;0.44;0.44;0.22;0.33;0.67;0.44;0.56;0.67;0.56;0.44;0.22;0.44;0.44;0.22;0.56
0.44;0.67;0.67;0.56;0.67;0.44;0.33;0.22;0.44;0.89;0.11;0.33;0.78;0.56;0.44;0.67
